sectors,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2011,2012,2013,2014,2015,2016,2017,2018,2019
AGRICULTURE,17052.175624556425,20125.923754417476,23797.8155681268,30365.184995421958,34237.08669997573,35702.63524357086,50286.93789395795,73764.50583973389,88264.12610779467,106626.69200092855,123235.64639888333,184115.6516268297,295324.5856861284,445272.89420676226,790141.6171408817,1070514.7286198842,1211461.962369235,1341040.897667281,1426973.8110564484,1508408.787946974,2015421.5326357554,4251520.647841029,4585925.698446884,4935263.7542782305,6032332.405953133,7513297.800875078,8551981.398922756,10100325.190493565,11625442.332889276,14037825.837685227,15815997.511976058,16816553.01213238,18018612.872645717,19636969.04316013,21523512.498657286,23952554.20335562,27371295.757518433,31904140.862671368
       1. Crop Production,12817.212762063724,14324.073818349172,16351.856487684392,21497.545592200462,25066.49391185124,25972.389302349988,39658.651779843094,61848.64195524387,71883.91731173344,86926.20227502112,101645.80806253744,153379.791289625,249195.9274643068,377308.2888589004,670177.5855640144,906894.1624012386,1026291.4925041043,1133389.0501769325,1204704.9215277429,1270628.7586726854,1699686.6329962548,3875457.917137665,4161565.548604205,4419062.41692409,5372203.915118685,6723216.458280566,7654220.16017697,9039634.01200261,10419603.304442426,12484849.1909633,14071235.469202999,14862324.872371,15812570.600408262,17189973.04345526,18883081.499024697,21096105.254235357,24207797.93441045,28296926.969646882
       2. Livestock,2525.0250412388464,3962.6890665702613,5193.1507628340505,6619.808181509294,7162.60845680704,7389.412605524429,8373.793797596383,8889.891216691996,11790.99011250946,14145.871359188348,15576.049708487475,23027.478033235915,36575.98948628249,54304.40775527103,97202.2873520387,130407.8438078707,145029.52899754612,158314.25173649835,164374.29112411503,172190.34288200137,228557.8828384321,271026.105342303,299224.4546361899,360802.9702913095,463420.02932768286,560246.0562256926,642276.4154616422,758839.7687973983,863402.4166309197,1115601.9145731046,1251931.3526200035,1399484.7279330357,1573052.5863058425,1748025.0414386615,1875783.3544421932,1974447.75601662,2048602.1559842555,2108945.0270544672
       3.  Forestry,1159.5725694985244,1165.7296499567958,1265.3892022680777,1379.8410312122644,1467.5030100773743,1571.7585391137136,1589.727607259663,1859.9732220549063,2174.693918032772,2346.0769075973267,2436.642757742402,2991.282172215727,3966.437081817823,5982.24775696108,8253.686439215846,10368.676327060162,12554.396222509346,15881.381198222081,19305.58036095771,24493.946827128042,29980.407688677045,36228.66533841597,44126.9550501158,56394.32913751877,67450.36547808051,80196.0523410553,91496.00894780677,108101.13364658676,121254.66116297693,153045.31085802094,170159.66214635735,187950.1830455097,207739.57887477957,222826.74791279758,236254.9844142551,257209.4551925436,272790.63682032184,285878.6659493886
       4.  Fishing,550.3652517553327,673.4312195412468,987.4191153402786,867.9901904999352,540.4813212400672,769.0747965827296,664.7647092588086,1165.9994457431108,2414.5247655189914,3208.5414591217677,3577.145870116007,4717.100131753072,5586.231653721283,7677.949835629701,14508.057785612755,22844.046083714893,27586.544645075322,33456.21455562813,38589.01804363295,41095.73956515923,57196.60911239137,68807.96002264458,81008.74015637397,99004.03792531113,129258.096028684,149639.23402776348,163988.81433633738,193750.27604697103,221181.95065295405,284329.4212908019,322671.0280066974,366793.22878283326,425250.1070568321,476144.2103534079,528392.6607761425,624791.7379111011,842105.0303034057,1212390.2000206285
MINING AND QUARRYING,13118.937884467858,9127.292225837062,7995.782040522696,9890.767069495809,14001.762141305493,12430.61539985098,22288.525743279926,22559.98377128569,49832.9726462609,63694.15044694216,76781.20812006704,149807.7196397121,144693.76463976418,132904.63134392313,448113.03285469045,675583.1256305205,624633.7719161223,433204.6077069587,600464.492791401,1274481.3859081906,975777.770980654,1051286.4518528422,1598735.3508196247,2476233.3661151556,3301433.544573166,4075352.591660947,4398955.201307826,5310950.956451142,4343062.0856923135,11098977.672369827,11386522.672810974,10380971.6332531,9716760.811653359,6100008.810744786,5469545.1825937955,10481972.50143394,13648664.473602502,12769423.812908303
       5. Crude Petroleum and Natural Gas,5919.9708484771245,4931.24597336555,4280.033707030325,5235.073855176048,6589.224636007656,5537.112026336238,15479.604554902786,17296.377487002035,44331.318484119736,58055.86675718715,67499.31368603515,142978.76664342073,140245.64122769432,126922.2924426828,444016.9073211659,670737.3338756125,619221.6835970866,426799.5971531756,593436.167404099,1266668.2884352063,966793.6437579138,1041995.1670245915,1588085.7621020204,2460552.5707960157,3281467.6864876365,4044969.004254935,4363626.741494769,5270007.134805689,4297072.866529274,11039408.33700639,11315033.2787846,10296327.198933108,9616489.515190031,5990417.057556074,5367322.6821575165,10355946.135916097,13423873.977693303,12400425.69209555
       6. Coal Mining,5325.328569487721,2569.2374677353046,2429.0972422224695,3503.50563782087,6539.877190598956,6539.877190598956,5885.88947153906,4250.920173889321,4204.206765385044,4250.920173889321,7987.992854231582,5558.895612009112,2896.2313272652523,4017.3531313679305,1448.1156636326261,1775.109523162574,1961.9631571796867,2008.6765656839652,2195.5301997010774,2475.810650726748,2242.2436082053564,1448.115663632626,1448.115663632626,1682.9460995151458,1550.9090054404367,1419.3442760755602,1858.1642901072046,2434.3832737760886,2779.8819971488865,3884.380195824967,4599.54458921707,5535.330730222538,6927.352695811049,7983.402867146976,8494.327370213903,9435.227196915668,9782.102408839903,12907.644229411453
       7.  Metal Ores,996.8524608153145,764.4943389102955,623.6347520559576,568.8560238348263,447.2592864648422,110.76138453503495,645.3054577258558,697.676329761443,711.5215028283224,725.9686399415879,548.9912103040863,341.3136143008957,332.8861176514909,395.49037847564114,552.6029945824026,632.0622487053625,595.9444059221989,614.6052913601668,648.3152779577861,694.0645454831265,670.5879476740703,692.8606173903545,687.4429409728799,785.0261994504004,896.7118768462092,1337.0907835211513,1621.6499630979479,1865.7961155063736,2087.4995152371853,2713.736326000444,2904.049539890236,3349.9791605659566,4079.423321213494,4461.516130677785,5742.733416803963,7933.195783666009,10904.019039296585,11143.366100495978
