date,domestic_ordinary_shares,foreign_ordinary_shares,fgn_bonds,treasury_bills,agency_bonds_(nmrc_&_fmbn),sukuk_bonds,green_bonds,state_govt._securities,corporate_bonds,corporate_infrastructure_bonds,corporate_green_bonds,supranational_bonds,banks,commercial_papers,foreign_money_market_securities,reits,real_estate_properties,private_equity_fund,infrastructure_fund,cash_&_other_assets,other_liabilities,grand_total
2013-01-01,420.99565,41.799459999999996,1440.4538300000002,365.19561,,,,156.09323999999998,77.34679,,,,520.67843,,5.42657,,191.77036999999999,6.90564,,32.5075,,3273.549110000001
2013-02-01,438.15532,42.496120000000005,1380.29873,393.13331,,,,164.56296,76.91756,,,,561.05322,,6.692609999999999,,188.47807999999998,6.894,,45.01905,,3319.12524
2013-03-01,455.23621,43.25558,1396.5074299999999,456.01159,,,,168.71067000000002,81.66753,,,,521.7108,,0.58099,,188.92526,7.057300000000001,,46.67047,,3382.4200399999995
2013-04-01,452.72553999999997,44.50715,1421.86451,540.60447,,,,165.81427,72.49441,,,1.7332100000000001,438.09515000000005,,8.69481,,191.48456,7.06961,,53.505489999999995,,3416.53159
2013-05-01,508.70065,44.390449999999994,1445.62769,620.2946999999999,,,,160.21931,51.62963,,,1.7520499999999999,444.43796000000003,,0,,190.02582,7.19854,,51.81701,,3543.207
2013-06-01,480.26237,45.39552,1473.1498700000002,593.5568000000001,,,,169.73046,77.06374000000001,,,1.7536500000000002,408.57773,,3.57478,,193.18841,6.9435,,51.68264,,3521.91117
2013-07-01,506.84582,47.57109,1509.26736,643.05372,,,,167.99217000000002,77.69722,,,1.7810899999999998,380.16436,,3.09671,,194.81517000000002,6.98424,,38.33693,,3598.7011499999994
2013-08-01,485.67565,46.575480000000006,1573.1014599999999,541.1045799999999,,,,168.10514,77.09379,,,1.70983,487.81546000000003,,3.1237600000000003,,195.34608,7.83289,,32.77211,,3641.1481199999994
2013-09-01,501.13914,48.97704,1625.17477,599.54387,,,,164.38104,77.43325999999999,,,1.72424,416.73352,,2.04293,,195.63142000000002,8.01967,,66.78580000000001,,3728.4271600000006
2013-10-01,540.78296,50.97298,1687.61547,588.29535,,,,164.34985,77.25119000000001,,,1.73896,405.2029,,1.1568900000000002,,190.62187,8.86626,,79.02378,,3816.9895299999994
2013-11-01,558.17979,51.67635,1727.59069,643.4574200000001,,,,205.04924,83.32903999999999,,,1.75321,407.01019,,0.73641,,192.05704999999998,8.7595,,65.72061,,3965.4470799999995
2013-12-01,591.53736,52.56698,1746.6856803096757,637.5919296903243,,,,210.10958,80.94638,,,1.76794,475.39109,,0.85633,,193.42670999999999,8.07824,,38.18824,,4058.0879600000003
2014-01-01,580.92949,50.4829,1809.8769499999999,647.35632,,,,207.4759,81.97244,,,1.77832,444.60868,,0.92904,,192.39754000000002,8.51403,,44.657300000000006,,4091.4882599999987
2014-02-01,566.57062,52.93071,1926.2217875407568,712.1929024592431,,,,197.67135000000002,80.45796,,,1.7303499999999998,318.08063,,1.01542,,195.59476999999998,9.04884,,46.008739999999996,,4128.286440000001
2014-03-01,548.75172,53.16268,1929.9479199999998,737.25482,,,,195.22116,79.92288,,,1.72329,355.20579,,0.28601,,228.4064,9.35088,,46.28685,,4207.62897
2014-04-01,560.43041,53.6775,1955.1128899999999,644.20739,,,,179.68568,80.85842,,,1.22649,452.2582,,0.54374,,228.3019,7.67033,,62.06725,,4248.55606
2014-05-01,615.3133,54.82493,1982.4051000000002,609.3818100000001,,,,190.85504999999998,78.82623,,,1.2368800000000002,496.25996000000004,,0.8138500000000001,,228.33257,7.509939999999999,,42.99454,,4329.88625
2014-06-01,637.84564,55.867470000000004,2043.05537,587.6619499999999,,,,187.55086,82.92622999999999,,,1.2469400000000002,527.4277099999999,,0.49604000000000004,,228.71919,9.15479,,46.098459999999996,,4429.717389999999
2014-07-01,635.57953,55.17483,2048.50405,581.87545,,,,190.27732,88.03053999999999,,,6.84433,539.94665,,0.84637,,204.4301,7.523,,75.31747,,4434.3496446
